canonical_id,canonical_name,country,id_sofascore,id_understat,id_statsbomb,id_whoscored,id_transfermarkt,created_at
13,SD Eibar,España,2839.0,156.0,,824,1533.0,2026-04-21 23:45:34.333088
17,Deportivo Alavés,España,2885.0,158.0,,60,1108.0,2026-04-21 23:45:34.333088
14,Elche CF,España,2846.0,207.0,,833,1531.0,2026-04-21 23:45:34.333088
12,Atlético de Madrid,España,2836.0,143.0,,63,13.0,2026-04-21 23:45:34.333088
19,SD Huesca,España,24265.0,232.0,,5006,5358.0,2026-04-21 23:45:34.333088
6,Real Sociedad,España,2824.0,140.0,,68,681.0,2026-04-21 23:45:34.333088
9,Real Madrid,España,2829.0,150.0,,52,418.0,2026-04-21 23:45:34.333088
4,Osasuna,España,2820.0,157.0,,131,331.0,2026-04-21 23:45:34.333088
10,Real Valladolid,España,2831.0,231.0,,58,366.0,2026-04-21 23:45:34.333088
1,Real Betis,España,2816.0,153.0,,54,150.0,2026-04-21 23:45:34.333088
3,Villarreal CF,España,2819.0,154.0,,839,1050.0,2026-04-21 23:45:34.333088
16,Getafe CF,España,2859.0,142.0,,819,3709.0,2026-04-21 23:45:34.333088
20,Granada CF,España,33779.0,155.0,,925,16795.0,2026-04-21 23:45:34.333088
18,Cádiz CF,España,4488.0,261.0,,1354,2687.0,2026-04-21 23:45:34.333088
8,Valencia CF,España,2828.0,146.0,,55,1049.0,2026-04-21 23:45:34.333088
2,FC Barcelona,España,2817.0,148.0,,65,131.0,2026-04-21 23:45:34.333088
11,Sevilla FC,España,2833.0,138.0,,67,368.0,2026-04-21 23:45:34.333088
7,Athletic Club,España,2825.0,147.0,,53,621.0,2026-04-21 23:45:34.333088
15,Levante UD,España,2849.0,151.0,,832,3368.0,2026-04-21 23:45:34.333088
5,Celta de Vigo,España,2821.0,152.0,,62,940.0,2026-04-21 23:45:34.333088
22,Rayo Vallecano,España,2818.0,145.0,,64,367.0,2026-04-21 23:45:34.333088
23,Mallorca,España,2826.0,239.0,,51,237.0,2026-04-21 23:45:34.333088
21,Espanyol,España,2814.0,141.0,,70,714.0,2026-04-21 23:45:34.333088
25,Girona FC,España,24264.0,223.0,,2783,12321.0,2026-04-21 23:45:34.333088
24,Almería,España,2858.0,208.0,,1799,3302.0,2026-04-21 23:45:34.333088
26,Las Palmas,España,6577.0,144.0,,838,472.0,2026-04-21 23:45:34.333088
27,Leganés,España,2845.0,159.0,,825,1244.0,2026-04-21 23:45:34.333088
28,Real Oviedo,,,,,61,,2026-04-21 23:45:34.333088
